animalid;date;time;feedid;portion;assigned;consumption
19165ED7-212E-21C4-0428-030D4265475F;2020-01-01;10:03:09;4;4.421;12.651;16.132
19165ED7-212E-21C4-0428-030D4265475F;2020-01-02;09:34:47;3;5.508;11.379;18.735
19165ED7-212E-21C4-0428-030D4265475F;2020-01-03;16:34:17;3;3.497;14.051;17.848
19165ED7-212E-21C4-0428-030D4265475F;2020-01-04;13:25:49;3;4.252;13.042;15.731
19165ED7-212E-21C4-0428-030D4265475F;2020-01-05;06:04:18;3;7.594;12.352;18.226
19165ED7-212E-21C4-0428-030D4265475F;2020-01-06;15:53:08;3;3.265;17.962;17.385
19165ED7-212E-21C4-0428-030D4265475F;2020-01-07;08:25:15;3;5.822;15.019;15.057
19165ED7-212E-21C4-0428-030D4265475F;2020-01-08;17:37:40;3;5.280;13.320;16.792
19165ED7-212E-21C4-0428-030D4265475F;2020-01-09;10:58:22;4;3.105;16.689;16.949
19165ED7-212E-21C4-0428-030D4265475F;2020-01-10;17:13:44;3;7.681;15.620;16.017
19165ED7-212E-21C4-0428-030D4265475F;2020-01-11;12:52:50;3;4.792;15.345;15.884
19165ED7-212E-21C4-0428-030D4265475F;2020-01-12;11:01:55;3;5.181;13.076;17.066
19165ED7-212E-21C4-0428-030D4265475F;2020-01-13;15:28:07;3;5.806;9.824;15.386
19165ED7-212E-21C4-0428-030D4265475F;2020-01-14;06:01:44;3;6.268;13.715;17.318
19165ED7-212E-21C4-0428-030D4265475F;2020-01-15;13:25:30;4;5.456;14.125;18.400
19165ED7-212E-21C4-0428-030D4265475F;2020-01-16;15:49:46;3;3.149;13.107;15.043
19165ED7-212E-21C4-0428-030D4265475F;2020-01-17;12:25:24;4;7.152;14.427;18.735
19165ED7-212E-21C4-0428-030D4265475F;2020-01-18;15:25:15;3;6.089;13.501;18.709
19165ED7-212E-21C4-0428-030D4265475F;2020-01-19;06:56:15;3;4.533;14.147;17.841
19165ED7-212E-21C4-0428-030D4265475F;2020-01-20;06:38:02;3;7.821;9.475;16.698
19165ED7-212E-21C4-0428-030D4265475F;2020-01-21;14:29:20;3;7.659;14.327;15.349
19165ED7-212E-21C4-0428-030D4265475F;2020-01-22;07:08:19;4;6.181;10.966;15.363
19165ED7-212E-21C4-0428-030D4265475F;2020-01-23;08:26:17;4;7.760;17.299;17.758
19165ED7-212E-21C4-0428-030D4265475F;2020-01-24;11:03:32;4;4.823;15.529;16.627
19165ED7-212E-21C4-0428-030D4265475F;2020-01-25;11:18:16;3;7.649;15.108;16.116
19165ED7-212E-21C4-0428-030D4265475F;2020-01-26;11:52:01;3;4.128;17.734;15.162
19165ED7-212E-21C4-0428-030D4265475F;2020-01-27;09:16:02;3;6.432;16.508;18.262
19165ED7-212E-21C4-0428-030D4265475F;2020-01-28;12:51:40;4;6.934;15.557;18.310
19165ED7-212E-21C4-0428-030D4265475F;2020-01-29;10:52:52;3;4.219;13.008;17.675
19165ED7-212E-21C4-0428-030D4265475F;2020-01-30;11:33:27;3;6.716;17.231;18.755
19165ED7-212E-21C4-0428-030D4265475F;2020-01-31;08:36:21;3;4.479;16.640;18.953
19165ED7-212E-21C4-0428-030D4265475F;2020-02-01;08:27:40;3;5.970;9.284;17.028
19165ED7-212E-21C4-0428-030D4265475F;2020-02-02;12:27:40;4;3.928;15.438;16.675
19165ED7-212E-21C4-0428-030D4265475F;2020-02-03;15:38:43;4;5.207;17.339;15.117
19165ED7-212E-21C4-0428-030D4265475F;2020-02-04;15:14:33;3;3.433;17.948;15.626
19165ED7-212E-21C4-0428-030D4265475F;2020-02-05;16:54:42;3;4.172;17.213;16.941
19165ED7-212E-21C4-0428-030D4265475F;2020-02-06;08:40:21;4;4.071;12.778;18.914
19165ED7-212E-21C4-0428-030D4265475F;2020-02-07;08:27:02;4;6.467;10.307;18.875
19165ED7-212E-21C4-0428-030D4265475F;2020-02-08;11:31:14;3;5.143;17.967;15.006
19165ED7-212E-21C4-0428-030D4265475F;2020-02-09;11:06:50;4;4.484;17.265;18.909
19165ED7-212E-21C4-0428-030D4265475F;2020-02-10;11:25:30;4;6.597;12.528;15.019
19165ED7-212E-21C4-0428-030D4265475F;2020-02-11;13:08:15;4;6.099;13.300;18.492
19165ED7-212E-21C4-0428-030D4265475F;2020-02-12;09:48:34;3;7.769;10.392;15.360
19165ED7-212E-21C4-0428-030D4265475F;2020-02-13;17:36:36;4;4.829;17.021;17.501
19165ED7-212E-21C4-0428-030D4265475F;2020-02-14;13:49:07;4;4.714;10.167;18.986
19165ED7-212E-21C4-0428-030D4265475F;2020-02-15;12:54:44;3;5.125;17.536;17.452
19165ED7-212E-21C4-0428-030D4265475F;2020-02-16;06:03:10;3;6.858;15.138;18.360
19165ED7-212E-21C4-0428-030D4265475F;2020-02-17;07:26:12;4;4.727;10.592;15.038
19165ED7-212E-21C4-0428-030D4265475F;2020-02-18;14:16:32;4;6.518;9.643;15.084
19165ED7-212E-21C4-0428-030D4265475F;2020-02-19;14:26:52;4;5.789;13.989;15.298
19165ED7-212E-21C4-0428-030D4265475F;2020-02-20;14:54:28;3;7.491;10.910;15.467
19165ED7-212E-21C4-0428-030D4265475F;2020-02-21;12:41:28;3;5.764;16.706;16.888
19165ED7-212E-21C4-0428-030D4265475F;2020-02-22;08:44:48;4;6.689;10.729;16.136
19165ED7-212E-21C4-0428-030D4265475F;2020-02-23;07:13:41;4;7.721;15.894;15.072
19165ED7-212E-21C4-0428-030D4265475F;2020-02-24;06:32:35;4;6.855;11.629;18.682
19165ED7-212E-21C4-0428-030D4265475F;2020-02-25;09:31:16;3;7.414;16.777;18.839
19165ED7-212E-21C4-0428-030D4265475F;2020-02-26;12:00:42;3;6.258;9.121;18.925
19165ED7-212E-21C4-0428-030D4265475F;2020-02-27;16:18:14;4;7.082;16.807;18.843
19165ED7-212E-21C4-0428-030D4265475F;2020-02-28;07:29:36;3;6.971;17.341;16.185
19165ED7-212E-21C4-0428-030D4265475F;2020-02-29;15:15:27;4;7.773;15.528;17.819
19165ED7-212E-21C4-0428-030D4265475F;2020-03-01;15:32:15;4;6.483;14.110;17.594
19165ED7-212E-21C4-0428-030D4265475F;2020-03-02;08:43:38;4;6.686;14.950;16.199
19165ED7-212E-21C4-0428-030D4265475F;2020-03-03;12:29:57;3;7.017;15.470;18.458
19165ED7-212E-21C4-0428-030D4265475F;2020-03-04;09:41:58;3;4.683;12.013;16.004
19165ED7-212E-21C4-0428-030D4265475F;2020-03-05;12:26:06;3;3.979;11.621;16.106
19165ED7-212E-21C4-0428-030D4265475F;2020-03-06;08:34:16;3;3.316;15.076;17.886
19165ED7-212E-21C4-0428-030D4265475F;2020-03-07;13:25:38;3;7.426;10.951;18.267
19165ED7-212E-21C4-0428-030D4265475F;2020-03-08;16:19:50;3;3.302;10.248;16.840
19165ED7-212E-21C4-0428-030D4265475F;2020-03-09;15:51:51;3;6.773;15.978;16.475
19165ED7-212E-21C4-0428-030D4265475F;2020-03-10;17:24:25;4;6.310;17.934;17.554
19165ED7-212E-21C4-0428-030D4265475F;2020-03-11;08:56:24;3;7.374;15.952;18.438
19165ED7-212E-21C4-0428-030D4265475F;2020-03-12;16:15:13;4;4.745;15.311;17.046
19165ED7-212E-21C4-0428-030D4265475F;2020-03-13;08:59:46;3;6.341;12.738;18.801
19165ED7-212E-21C4-0428-030D4265475F;2020-03-14;16:44:02;3;5.535;9.551;16.218
19165ED7-212E-21C4-0428-030D4265475F;2020-03-15;10:37:02;3;3.919;16.819;17.504
19165ED7-212E-21C4-0428-030D4265475F;2020-03-16;11:17:47;4;5.463;12.348;18.681
19165ED7-212E-21C4-0428-030D4265475F;2020-03-17;16:10:57;3;7.438;10.619;17.454
19165ED7-212E-21C4-0428-030D4265475F;2020-03-18;10:35:46;4;6.595;17.558;16.061
19165ED7-212E-21C4-0428-030D4265475F;2020-03-19;15:50:45;4;5.306;14.785;16.119
19165ED7-212E-21C4-0428-030D4265475F;2020-03-20;06:32:20;4;6.627;10.892;15.509
19165ED7-212E-21C4-0428-030D4265475F;2020-03-21;06:36:14;3;3.406;12.608;16.276
19165ED7-212E-21C4-0428-030D4265475F;2020-03-22;09:05:44;3;4.338;15.072;16.501
19165ED7-212E-21C4-0428-030D4265475F;2020-03-23;08:17:24;4;5.764;14.865;15.214
19165ED7-212E-21C4-0428-030D4265475F;2020-03-24;15:26:49;4;6.089;12.923;17.486
19165ED7-212E-21C4-0428-030D4265475F;2020-03-25;14:23:00;3;3.913;16.871;15.104
19165ED7-212E-21C4-0428-030D4265475F;2020-03-26;15:43:31;3;3.860;14.191;17.456
19165ED7-212E-21C4-0428-030D4265475F;2020-03-27;09:12:18;3;6.039;11.118;18.280
