animal,production,product,productiondatetime
{19165ED7-212E-21C4-0428-030D4265475F},14,Melk,01-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},8,Melk,02-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},14,Melk,03-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},8,Melk,04-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},10,Melk,05-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},21,Melk,06-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},4,Melk,07-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},13,Melk,08-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},21,Melk,09-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},14,Melk,10-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},10,Melk,11-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},13,Melk,12-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},5,Melk,13-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},16,Melk,14-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},19,Melk,15-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},14,Melk,16-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},7,Melk,17-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},8,Melk,18-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},9,Melk,19-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},20,Melk,20-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},5,Melk,21-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},6,Melk,22-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},8,Melk,23-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},9,Melk,24-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},17,Melk,25-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},9,Melk,26-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},4,Melk,27-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},17,Melk,28-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},11,Melk,29-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},11,Melk,30-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},11,Melk,31-01-2020
{19165ED7-212E-21C4-0428-030D4265475F},15,Melk,01-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},5,Melk,02-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},8,Melk,03-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},20,Melk,04-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},17,Melk,05-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},17,Melk,06-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},12,Melk,07-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},19,Melk,08-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},10,Melk,09-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},19,Melk,10-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},11,Melk,11-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},13,Melk,12-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},14,Melk,13-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},5,Melk,14-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},6,Melk,15-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},6,Melk,16-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},6,Melk,17-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},6,Melk,18-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},5,Melk,19-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},5,Melk,20-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},12,Melk,21-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},16,Melk,22-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},12,Melk,23-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},6,Melk,24-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},6,Melk,25-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},12,Melk,26-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},12,Melk,27-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},16,Melk,28-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},11,Melk,29-02-2020
{19165ED7-212E-21C4-0428-030D4265475F},21,Melk,01-03-2020
{19165ED7-212E-21C4-0428-030D4265475F},8,Melk,02-03-2020
{19165ED7-212E-21C4-0428-030D4265475F},12,Melk,03-03-2020
{19165ED7-212E-21C4-0428-030D4265475F},10,Melk,04-03-2020
{19165ED7-212E-21C4-0428-030D4265475F},19,Melk,05-03-2020
{19165ED7-212E-21C4-0428-030D4265475F},16,Melk,06-03-2020
{19165ED7-212E-21C4-0428-030D4265475F},18,Melk,07-03-2020
